@timestamp,@message
2020-07-13 05:59:01.685,"END RequestId: a62bde98-9b1a-4af9-9c8f-99f3bba2aef6
"
2020-07-13 05:59:01.685,"REPORT RequestId: a62bde98-9b1a-4af9-9c8f-99f3bba2aef6	Duration: 298.73 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
2020-07-13 05:59:01.406,"b'34.207.242.55
'
"
2020-07-13 05:59:01.406,"us-east-1
"
2020-07-13 05:59:01.389,"169.254.116.245
"
2020-07-13 05:59:01.389,"169.254.76.1
"
2020-07-13 05:59:01.387,"MemTotal:192480kB,MemFree:39544kB,MemAvailable:128860kB,Buffers:14280kB,Cached:76088kB,SwapCached:0kB,Active:71452kB,Inactive:59472kB,Active(anon):39344kB,Inactive(anon):52kB,Active(file):32108kB,Inactive(file):59420kB,Unevictable:0kB,Mlocked:0kB,SwapTotal:0kB,SwapFree:0kB,Dirty:16kB,Writeback:0kB,AnonPages:40552kB,Mapped:40016kB,Shmem:52kB,Slab:14424kB,SReclaimable:5380kB,SUnreclaim:9044kB,KernelStack:1360kB,PageTables:1136kB,NFS_Unstable:0kB,Bounce:0kB,WritebackTmp:0kB,CommitLimit:96240kB,Committed_AS:445352kB,VmallocTotal:34359738367kB,VmallocUsed:0kB,VmallocChunk:0kB,AnonHugePages:0kB,ShmemHugePages:0kB,ShmemPmdMapped:0kB,HugePages_Total:0,HugePages_Free:0,HugePages_Rsvd:0,HugePages_Surp:0,Hugepagesize:2048kB,DirectMap4k:16384kB,DirectMap2M:196608kB
"
2020-07-13 05:59:01.387,"processor: 0;vendor_id: GenuineIntel;cpu family: 6;model: 62;model name: Intel(R) Xeon(R) Processor @ 2.50GHz;stepping: 4;microcode: 0x1;cpu MHz: 2500.010;cache size: 33792 KB;physical id: 0;siblings: 2;core id: 0;cpu cores: 2;apicid: 0;initial apicid: 0;fpu: yes;fpu_exception: yes;cpuid level: 13;wp: yes;flags: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust smep erms smap xsaveopt arat md_clear arch_capabilities;bugs: cpu_meltdown spectre_v1 spectre_v2 spec_store_bypass l1tf mds swapgs;bogomips: 5000.02;clflush size: 64;cache_alignment: 64;address sizes: 46 bits physical, 48 bits virtual;power management:;;processor: 1;vendor_id: GenuineIntel;cpu family: 6;model: 62;model name: Intel(R) Xeon(R) Processor @ 2.50GHz;stepping: 4;microcode: 0x1;cpu MHz: 2500.010;cache size: 33792 KB;physical id: 0;siblings: 2;core id: 1;cpu cores: 2;apicid: 1;initial apicid: 1;fpu: yes;fpu_exception: yes;cpuid level: 13;wp: yes;flags: fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust smep erms smap xsaveopt arat md_clear arch_capabilities;bugs: cpu_meltdown spectre_v1 spectre_v2 spec_store_bypass l1tf mds swapgs;bogomips: 5000.02;clflush size: 64;cache_alignment: 64;address sizes: 46 bits physical, 48 bits virtual;power management:;;
"
2020-07-13 05:59:01.387,"9231.16,18446.82
"
2020-07-13 05:59:01.384,"START RequestId: a62bde98-9b1a-4af9-9c8f-99f3bba2aef6 Version: $LATEST
"
