@timestamp,@message
2020-07-13 15:58:14.926,"END RequestId: 01f35192-2999-427c-9818-13cb4bab2888
"
2020-07-13 15:58:14.926,"REPORT RequestId: 01f35192-2999-427c-9818-13cb4bab2888	Duration: 456.08 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
2020-07-13 15:58:14.782,"END RequestId: d055bf52-a670-4cfb-8ef2-f4f2b9f0a525
"
2020-07-13 15:58:14.782,"REPORT RequestId: d055bf52-a670-4cfb-8ef2-f4f2b9f0a525	Duration: 299.28 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
2020-07-13 15:58:14.778,"END RequestId: b838a9a8-d15d-4400-a59a-ab13855a42a8
"
2020-07-13 15:58:14.778,"REPORT RequestId: b838a9a8-d15d-4400-a59a-ab13855a42a8	Duration: 304.31 ms	Billed Duration: 400 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
"
2020-07-13 15:58:14.773,"END RequestId: d29a452b-e70d-493a-ae8f-c1294b85ffc9
"
2020-07-13 15:58:14.773,"REPORT RequestId: d29a452b-e70d-493a-ae8f-c1294b85ffc9	Duration: 306.42 ms	Billed Duration: 400 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
"
2020-07-13 15:58:14.517,"b'3.89.248.66
'
"
2020-07-13 15:58:14.517,"us-east-1
"
2020-07-13 15:58:14.504,"b'54.224.58.208
'
"
2020-07-13 15:58:14.504,"us-east-1
"
2020-07-13 15:58:14.489,"b'18.208.126.170
'
"
2020-07-13 15:58:14.489,"us-east-1
"
2020-07-13 15:58:14.484,"169.254.76.1
"
2020-07-13 15:58:14.483,"MemTotal:192480kB,MemFree:37812kB,MemAvailable:128384kB,Buffers:14884kB,Cached:76568kB,SwapCached:0kB,Active:72376kB,Inactive:60240kB,Active(anon):39760kB,Inactive(anon):52kB,Active(file):32616kB,Inactive(file):60188kB,Unevictable:0kB,Mlocked:0kB,SwapTotal:0kB,SwapFree:0kB,Dirty:12kB,Writeback:0kB,AnonPages:41152kB,Mapped:39900kB,Shmem:52kB,Slab:14460kB,SReclaimable:5360kB,SUnreclaim:9100kB,KernelStack:1360kB,PageTables:1144kB,NFS_Unstable:0kB,Bounce:0kB,WritebackTmp:0kB,CommitLimit:96240kB,Committed_AS:437548kB,VmallocTotal:34359738367kB,VmallocUsed:0kB,VmallocChunk:0kB,AnonHugePages:0kB,ShmemHugePages:0kB,ShmemPmdMapped:0kB,HugePages_Total:0,HugePages_Free:0,HugePages_Rsvd:0,HugePages_Surp:0,Hugepagesize:2048kB,DirectMap4k:18432kB,DirectMap2M:194560kB
"
