@timestamp,@message
2020-07-28 20:48:54.102,"END RequestId: cd226545-b472-4dce-9bb8-9560e5a5e028
"
2020-07-28 20:48:54.102,"REPORT RequestId: cd226545-b472-4dce-9bb8-9560e5a5e028	Duration: 34.99 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:48:54.085,"18.234.45.45
"
2020-07-28 20:48:54.065,"START RequestId: cd226545-b472-4dce-9bb8-9560e5a5e028 Version: $LATEST
"
2020-07-28 20:48:53.942,"END RequestId: 5b53e850-df9b-4574-91ae-51fee93ce2ff
"
2020-07-28 20:48:53.942,"REPORT RequestId: 5b53e850-df9b-4574-91ae-51fee93ce2ff	Duration: 33.82 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:48:53.924,"18.234.45.45
"
2020-07-28 20:48:53.907,"START RequestId: 5b53e850-df9b-4574-91ae-51fee93ce2ff Version: $LATEST
"
2020-07-28 20:38:53.499,"END RequestId: e25d540e-2a14-4a30-95e7-10ac252b6e22
"
2020-07-28 20:38:53.499,"REPORT RequestId: e25d540e-2a14-4a30-95e7-10ac252b6e22	Duration: 34.69 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:38:53.484,"18.234.45.45
"
2020-07-28 20:38:53.461,"START RequestId: e25d540e-2a14-4a30-95e7-10ac252b6e22 Version: $LATEST
"
2020-07-28 20:38:53.339,"END RequestId: 8127f295-55ba-4ca9-ab16-b76b06f3d227
"
2020-07-28 20:38:53.339,"REPORT RequestId: 8127f295-55ba-4ca9-ab16-b76b06f3d227	Duration: 48.31 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:38:53.329,"18.234.45.45
"
2020-07-28 20:38:53.289,"START RequestId: 8127f295-55ba-4ca9-ab16-b76b06f3d227 Version: $LATEST
"
2020-07-28 20:28:52.976,"END RequestId: 9aae067d-4b33-4338-a214-2568a27992e6
"
2020-07-28 20:28:52.976,"REPORT RequestId: 9aae067d-4b33-4338-a214-2568a27992e6	Duration: 26.64 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:28:52.958,"18.234.45.45
"
2020-07-28 20:28:52.948,"START RequestId: 9aae067d-4b33-4338-a214-2568a27992e6 Version: $LATEST
"
2020-07-28 20:28:52.856,"END RequestId: 1a4b4cce-6992-4c1e-9231-c397a4dc1247
"
2020-07-28 20:28:52.856,"REPORT RequestId: 1a4b4cce-6992-4c1e-9231-c397a4dc1247	Duration: 75.17 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:28:52.842,"18.234.45.45
"
2020-07-28 20:28:52.779,"START RequestId: 1a4b4cce-6992-4c1e-9231-c397a4dc1247 Version: $LATEST
"
2020-07-28 20:18:52.453,"END RequestId: 9f97eec6-b1fc-4d14-a9db-ed51276ea461
"
2020-07-28 20:18:52.453,"REPORT RequestId: 9f97eec6-b1fc-4d14-a9db-ed51276ea461	Duration: 36.02 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 58 MB	
"
2020-07-28 20:18:52.435,"18.234.45.45
"
2020-07-28 20:18:52.414,"START RequestId: 9f97eec6-b1fc-4d14-a9db-ed51276ea461 Version: $LATEST
"
2020-07-28 20:18:52.313,"END RequestId: 5952c0ec-e5db-4e8b-9ae1-c72010dc434b
"
