0#1#2#0#us-east-1#python2.7#128#coldstart55927843#3d9df3dc-a1bc-478a-a4e2-779f961de306#3d9df3dc-a1bc-478a-a4e2-779f961de306#sandbox-root-wWyuGE#sandbox-94b71e#169.254.42.101#100.26.140.117#169.254.76.1#841.12;1678.98#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594455916147.069#1594455939632.517#23485.447998046875#1594455934563.903#1594456081086.3271#146522.42407226562
0#1#2#1#us-east-1#python2.7#128#coldstart55931227#d7589406-e945-4e64-b8e1-30609ed66fb5#d7589406-e945-4e64-b8e1-30609ed66fb5#sandbox-root-Bkpqx3#sandbox-3daa2e#169.254.28.197#100.24.122.248#169.254.76.1#702.80;1402.62#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594455915627.059#1594455939635.241#24008.181884765625#1594455934627.425#1594456081089.5989#146462.173828125
0#2#2#1#us-east-1#python2.7#128#coldstart55931227#55decb81-51b0-4e5c-93de-66ad3abf2df6#8d01608b-364d-4a18-a5a7-99095a95fbd5#sandbox-root-dzD3kt#sandbox-9767d7#169.254.224.237#3.83.65.28#169.254.76.1#1575.30;3140.40#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456062826.097#1594456086442.2969#23616.199951171875#1594456081527.8982#1594456227890.275#146362.37670898438
0#2#2#0#us-east-1#python2.7#128#coldstart55927843#46991b69-be13-4f09-b59f-d5e217a99ae0#cb165f8e-03ac-4ff3-9fca-ec4661b5760e#sandbox-root-IU4Y0m#sandbox-20e2bc#169.254.190.157#34.234.175.46#169.254.76.1#1608.48;3207.01#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456062501.596#1594456086543.084#24041.488037109375#1594456081509.9622#1594456227994.0989#146484.13671875
0#1#2#1#us-east-1#python2.7#3008#coldstart56234411#8b381842-ed0f-484a-a2da-c6a8bb9b5646#8b381842-ed0f-484a-a2da-c6a8bb9b5646#sandbox-root-nZM9qu#sandbox-58ab44#169.254.96.253#3.236.218.254#169.254.76.1#3765.71;7506.37#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456219400.372#1594456242812.86#23412.488037109375#1594456237961.889#1594456384255.434#146293.54516601562
0#1#2#0#us-east-1#python2.7#3008#coldstart56229747#13fb227e-bd43-483a-9f87-2aa34dfb30f7#13fb227e-bd43-483a-9f87-2aa34dfb30f7#sandbox-root-GWZyjh#sandbox-d8be28#169.254.17.161#3.236.153.225#169.254.76.1#1383.99;2743.09#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456219650.399#1594456242819.839#23169.440185546875#1594456237952.207#1594456384262.722#146310.51489257812
0#2#2#0#us-east-1#python2.7#3008#coldstart56229747#64045848-9c08-4945-9ba8-88a29b290502#ba4d81f3-1feb-4a1b-aa20-14f1f716bea2#sandbox-root-o38w6k#sandbox-fafbac#169.254.229.229#35.174.107.90#169.254.76.1#4503.62;8897.40#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456365955.074#1594456389558.912#23603.838134765625#1594456384721.708#1594456531083.769#146362.06103515625
0#2#2#1#us-east-1#python2.7#3008#coldstart56234411#8b381842-ed0f-484a-a2da-c6a8bb9b5646#e2f287ff-0859-4aa8-b964-f850fe417949#sandbox-root-nZM9qu#sandbox-58ab44#169.254.96.253#3.236.218.254#169.254.76.1#3912.48;7777.11#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456367440.603#1594456389583.628#22143.02490234375#1594456384729.737#1594456531085.8918#146356.15478515625
0#1#2#0#us-east-1#python3.6#128#coldstart56532761#5f7dbdf5-2501-4bdf-b036-320c05675c20#5f7dbdf5-2501-4bdf-b036-320c05675c20#sandbox-root-9q3ZCQ#sandbox-3e1c30#169.254.46.157#b'52.204.98.217'#169.254.76.1#1546.14;3088.73#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456519543.9268#1594456543739.6052#24195.678466796875#1594456538846.298#1594456685173.286#146326.98779296875
0#1#2#1#us-east-1#python3.6#128#coldstart56535486#c47e5160-58c7-460c-bcdb-87699a70fcf5#c47e5160-58c7-460c-bcdb-87699a70fcf5#sandbox-root-fHvRZn#sandbox-bd9454#169.254.107.125#b'100.24.27.41'#169.254.76.1#1921.58;3840.31#2;Intel(R) Xeon(R) Processor @ 2.50GHz#None#None#None#None#None#1594456521330.836#1594456543763.4275#22432.591552734375#1594456538833.6948#1594456685194.727#146361.0322265625
