0#1#1#0#us-east-1#python3.7#2112#scale75309394#0a58a031-41c6-41dd-ab89-6ef73ee10405#0a58a031-41c6-41dd-ab89-6ef73ee10405#sandbox-root-xW2lv4#sandbox-service-47a07c#169.254.16.213#b'18.209.48.88'#169.254.76.1#1099.10;2179.23#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475294800.5212#1594475312837.4207#18036.8994140625#1594475312699.2021#1594475453833.15#141133.94775390625
0#1#5#0#us-east-1#python3.7#1856#scale75454845#f0796532-342c-4f81-8827-66d1714fd0c9#f0796532-342c-4f81-8827-66d1714fd0c9#sandbox-root-WL1m5E#sandbox-service-07daeb#169.254.248.133#b'3.236.119.190'#169.254.76.1#4864.24;9710.14#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475453985.5076#1594475470549.4285#16563.9208984375#1594475471613.823#1594475611437.908#139824.0849609375
0#1#5#2#us-east-1#python3.7#896#scale75461103#034cfb18-7bfa-4a64-b37a-464c81ea4584#034cfb18-7bfa-4a64-b37a-464c81ea4584#sandbox-root-ttCRyC#sandbox-service-fc1dfc#169.254.3.149#b'18.205.244.229'#169.254.76.1#264.22;518.35#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475452962.9307#1594475470516.9714#17554.040771484375#1594475471627.818#1594475611467.281#139839.462890625
0#1#5#1#us-east-1#python3.7#3008#scale75457725#93ac68e8-064c-4cd5-ad58-ceb0f5405e81#93ac68e8-064c-4cd5-ad58-ceb0f5405e81#sandbox-root-wDCzUR#sandbox-service-1a1e86#169.254.173.93#b'52.91.224.106'#169.254.76.1#4267.04;8516.70#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475454825.006#1594475470547.522#15722.515869140625#1594475471624.805#1594475611479.1511#139854.34619140625
0#1#5#4#us-east-1#python3.7#1344#scale75467142#4d87b67c-15df-4fa0-9c83-70e08e0cd232#4d87b67c-15df-4fa0-9c83-70e08e0cd232#sandbox-root-9bWC2K#sandbox-service-e08c3d#169.254.3.29#b'3.237.37.75'#169.254.76.1#987.07;1959.67#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475453869.5957#1594475470526.3386#16656.742919921875#1594475471343.954#1594475611526.327#140182.37280273438
0#1#5#3#us-east-1#python3.7#256#scale75464072#92e83c95-f86b-4322-b5f0-e66c97aeeb4f#92e83c95-f86b-4322-b5f0-e66c97aeeb4f#sandbox-root-sUd8ZR#sandbox-service-1a8be3#169.254.245.181#b'18.207.132.140'#169.254.76.1#3665.08;7325.89#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475455055.9915#1594475470554.467#15498.4755859375#1594475471777.126#1594475612125.0999#140347.97387695312
1#1#1#0#us-east-1#python3.7#2176#scale75616018#7afea6d5-81e1-4aa1-94d5-696f8168bab9#7afea6d5-81e1-4aa1-94d5-696f8168bab9#sandbox-root-kXjErW#sandbox-service-1ce11f#169.254.161.173#b'34.237.223.60'#169.254.76.1#4625.79;9232.41#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475601767.7385#1594475619418.0525#17650.31396484375#1594475619293.112#1594475760408.507#141115.39501953125
1#1#5#2#us-east-1#python3.7#2112#scale75767370#61273833-53a1-4f1f-bb1e-ab08297a9e0a#61273833-53a1-4f1f-bb1e-ab08297a9e0a#sandbox-root-SVl0a9#sandbox-service-0f0dab#169.254.216.77#b'3.235.175.100'#169.254.76.1#3552.90;7087.08#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475759556.5684#1594475776588.4482#17031.8798828125#1594475777248.135#1594475917484.6921#140236.55712890625
1#1#5#0#us-east-1#python3.7#2432#scale75761121#da3ca78a-057c-4e80-93b4-6098432d6b83#da3ca78a-057c-4e80-93b4-6098432d6b83#sandbox-root-xk0dEq#sandbox-service-95ecf9#169.254.25.93#b'3.233.233.132'#169.254.76.1#2274.57;4531.57#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475760436.739#1594475776585.9116#16149.172607421875#1594475777182.935#1594475917487.098#140304.16284179688
1#1#5#1#us-east-1#python3.7#2368#scale75763999#155004cd-8c91-4f46-ae8f-13bb2cd4e72c#155004cd-8c91-4f46-ae8f-13bb2cd4e72c#sandbox-root-NYATD9#sandbox-service-c86cd3#169.254.142.237#b'54.159.117.190'#169.254.76.1#3835.75;7654.72#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475761346.2786#1594475776601.125#15254.846435546875#1594475777310.139#1594475917489.645#140179.50610351562
1#1#5#3#us-east-1#python3.7#1792#scale75770343#5f43854b-b6bb-4db7-a7c9-753d1e0061f3#5f43854b-b6bb-4db7-a7c9-753d1e0061f3#sandbox-root-2i0OAM#sandbox-service-5ddc2e#169.254.216.77#b'3.235.95.33'#169.254.76.1#3726.13;7432.64#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475759647.449#1594475776622.74#16975.291015625#1594475777353.93#1594475917526.938#140173.00805664062
1#1#5#4#us-east-1#python3.7#2752#scale75773318#41395580-655d-49ec-9cca-ca78dc6f0fe4#41395580-655d-49ec-9cca-ca78dc6f0fe4#sandbox-root-8strQB#sandbox-service-653a2f#169.254.84.5#b'34.227.16.70'#169.254.76.1#3249.40;6481.71#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475761162.3472#1594475776653.6914#15491.34423828125#1594475777400.2012#1594475917555.161#140154.95971679688
2#1#1#0#us-east-1#python3.7#1792#scale75923514#d02be104-83ac-4fe4-91a7-a9ee50b5be29#d02be104-83ac-4fe4-91a7-a9ee50b5be29#sandbox-root-pWbyst#sandbox-service-d4d20e#169.254.153.125#b'3.85.172.76'#169.254.76.1#4689.59;9359.21#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594475909608.9714#1594475927782.7388#18173.767333984375#1594475927549.0762#1594476068667.246#141118.169921875
2#1#5#1#us-east-1#python3.7#1920#scale76073332#84738fc2-8dc8-4cbb-b180-7a716acab307#84738fc2-8dc8-4cbb-b180-7a716acab307#sandbox-root-bw5zfV#sandbox-service-4fb574#169.254.130.173#b'54.90.227.18'#169.254.76.1#4108.10;8197.28#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594476076546.5112#1594476093533.5002#16986.989013671875#1594476094514.8#1594476234507.178#139992.3779296875
2#1#5#0#us-east-1#python3.7#1024#scale76069594#f15876dc-e3cd-494c-8805-5eacba0bbb21#f15876dc-e3cd-494c-8805-5eacba0bbb21#sandbox-root-wJEgFZ#sandbox-service-2d0094#169.254.65.181#b'3.82.212.163'#169.254.76.1#4166.96;8322.48#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594476077680.2686#1594476093604.382#15924.113525390625#1594476094526.865#1594476234528.441#140001.57592773438
2#1#5#3#us-east-1#python3.7#1728#scale76084392#1a46b420-6f6d-4359-802e-5b6e9d4e984f#1a46b420-6f6d-4359-802e-5b6e9d4e984f#sandbox-root-xPQ7Co#sandbox-service-d7f698#169.254.101.93#b'54.167.182.246'#169.254.76.1#4299.50;8581.24#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594476076477.3008#1594476093636.3494#17159.048583984375#1594476094248.17#1594476234581.9321#140333.76220703125
2#1#5#4#us-east-1#python3.7#1152#scale76089105#60b53eee-a5b9-4794-bf47-5ae88a773bd2#60b53eee-a5b9-4794-bf47-5ae88a773bd2#sandbox-root-TKrOgI#sandbox-service-d57988#169.254.75.245#b'54.174.124.9'#169.254.76.1#11411.14;22808.53#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1594476077894.9739#1594476093790.4119#15895.43798828125#1594476094491.1511#1594476234716.2139#140225.06274414062
