0#1#1#0#us-east-1#python3.7#128#scale61256364#783ec6e9-3df2-4383-bb19-24256e773c0d#783ec6e9-3df2-4383-bb19-24256e773c0d#sandbox-root-AvJlFf#sandbox-service-9c614a#169.254.69.165#b'34.204.175.147'#169.254.76.1#2516.04,5027.50#2,Intel(R); Xeon(R); Processor; @; 2.50GHz#1594461241695.981#1594461269833.9155#28137.9345703125#1594461259748.535#1594461412873.382#153124.84716796875;
0#2#1#0#us-east-1#python3.7#128#scale61413800#f61ea3e2-e505-4981-bac7-4f3bf0a4c5d4#f61ea3e2-e505-4981-bac7-4f3bf0a4c5d4#sandbox-root-o6qu7F#sandbox-service-ec8e3c#169.254.62.109#b'3.236.153.225'#169.254.76.1#3378.62,6753.32#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461398975.8591#1594461426966.828#27990.96875#1594461416903.0918#1594461569942.907#153039.81518554688;
0#3#2#0#us-east-1#python3.7#128#scale61570785#c3c76833-32ac-46d1-8c60-f0268d0c70a7#c3c76833-32ac-46d1-8c60-f0268d0c70a7#sandbox-root-EAVNOe#sandbox-service-8a0f4e#169.254.219.93#b'3.93.52.231'#169.254.76.1#2096.80,4189.52#2,Intel(R) Xe;on(R) Pr;ocessor @ ;2.;50GHz#1594461559209.531#1594461586686.7747#27477.24365234375#1594461576635.883#1594461729571.3142#152935.43115234375;
0#3#2#1#us-east-1#python3.7#128#scale61573429#f3650978-0f6e-4569-9ce2-be20868106ba#f3650978-0f6e-4569-9ce2-be20868106ba#sandbox-root-R2GRun#sandbox-service-9d59f1#169.254.241.213#b'34.232.44.181'#169.254.76.1#2384.70,4765.27#2,Intel(R); Xeon(R); Processor; @; 2.50GHz#1594461557502.5583#1594461586814.6619#29312.103515625#1594461576540.336#1594461729645.645#153105.30908203125;
0#4#3#2#us-east-1#python3.7#128#scale61737052#cc90e57e-efd6-4c89-a4b2-ef5e6d8cd898#cc90e57e-efd6-4c89-a4b2-ef5e6d8cd898#sandbox-root-0hMPhd#sandbox-service-5fcaa3#169.254.27.237#b'18.214.98.141'#169.254.76.1#1355.60,2707.63#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461723665.2988#1594461750348.6565#26683.357666015625#1594461740585.594#1594461893407.793#152822.19897460938;
0#4#3#1#us-east-1#python3.7#128#scale61734077#afdaa525-c3ce-4e98-b7d3-2435d3d3d3ad#afdaa525-c3ce-4e98-b7d3-2435d3d3d3ad#sandbox-root-uBJ7Gc#sandbox-service-01a9d1#169.254.64.45#b'3.236.51.253'#169.254.76.1#2610.58,5217.32#2,Intel(R) Xe;on(R) Pr;ocessor @ ;2.;50GHz#1594461722777.133#1594461750535.7803#27758.647216796875#1594461740700.612#1594461893423.357#152722.74487304688;
0#4#3#0#us-east-1#python3.7#128#scale61731191#574b47d1-f79e-4ae0-af8a-f1578aedc718#574b47d1-f79e-4ae0-af8a-f1578aedc718#sandbox-root-cTdND0#sandbox-service-b0b0b7#169.254.28.61#b'3.231.26.253'#169.254.76.1#320.70,638.03#2,Intel(R) Xeon;(R) Proc;essor @ 2.;50;GHz#1594461722303.6172#1594461750557.402#28253.784912109375#1594461740690.578#1594461893476.841#152786.26318359375;
0#5#4#2#us-east-1#python3.7#128#scale61901395#aaaa1955-38e0-4451-bcaf-f66d8d12ed48#aaaa1955-38e0-4451-bcaf-f66d8d12ed48#sandbox-root-RVrr18#sandbox-service-f77e63#169.254.200.133#b'3.84.111.252'#169.254.76.1#1379.76,2755.75#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461890459.5786#1594461917410.3794#26950.80078125#1594461907991.666#1594462060417.271#152425.60498046875;
0#5#4#0#us-east-1#python3.7#128#scale61895799#17ad41c7-3e1e-459d-a43e-4bee55282e6e#17ad41c7-3e1e-459d-a43e-4bee55282e6e#sandbox-root-BIe6Ja#sandbox-service-d8382c#169.254.37.165#b'18.209.24.184'#169.254.76.1#2301.66,4599.18#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461891153.733#1594461917487.9739#26334.240966796875#1594461907905.0469#1594462060420.5781#152515.53125;
0#5#4#3#us-east-1#python3.7#128#scale61904260#192eff45-38e2-44fa-8faa-cf3d3dd9790b#192eff45-38e2-44fa-8faa-cf3d3dd9790b#sandbox-root-Cqy3rv#sandbox-service-a9c7ce#169.254.106.53#b'54.162.156.88'#169.254.76.1#1844.28,3684.75#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461890449.1655#1594461917501.0981#27051.9326171875#1594461907952.158#1594462060449.5151#152497.35717773438;
0#5#4#1#us-east-1#python3.7#128#scale61898614#abff3e99-a5c6-47c0-8d1d-20452faa5610#abff3e99-a5c6-47c0-8d1d-20452faa5610#sandbox-root-JxB9xa#sandbox-service-0acaa9#169.254.145.149#b'3.88.110.245'#169.254.76.1#1810.74,3617.88#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1594461889833.7876#1594461917445.7595#27611.971923828125#1594461907895.159#1594462060613.2969#152718.13793945312;
