0#1#1#0#us-east-1#python2.7#128#coldstart_long87658596#69c9bb3d-9c11-4daf-a9ce-564064fb3c85#69c9bb3d-9c11-4daf-a9ce-564064fb3c85#sandbox-root-9sdrFc#sandbox-87ea71#169.254.196.245#18.233.223.246#169.254.76.1#1027.90;2050.11#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593787603886.53#1593787661609.152#57722.6220703125#1593787661380.048#1593787780852.855#119472.80688476562
0#2#1#0#us-east-1#python2.7#128#coldstart_long87658596#69c9bb3d-9c11-4daf-a9ce-564064fb3c85#1511131d-6c3e-4a20-999e-8a042c31b748#sandbox-root-9sdrFc#sandbox-87ea71#169.254.196.245#18.233.223.246#169.254.76.1#1147.50;2284.57#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593787722950.745#1593787781191.797#58241.052001953125#1593787781046.8408#1593787900454.005#119407.1640625
1#1#1#0#us-east-1#python2.7#128#coldstart_long87901242#7010f715-c4ec-43a6-b72d-e4afc2a2aa74#7010f715-c4ec-43a6-b72d-e4afc2a2aa74#sandbox-root-9wJsqx#sandbox-8525e1#169.254.58.101#3.83.187.55#169.254.76.1#1115.98;2226.39#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593787846823.333#1593787904202.099#57378.76611328125#1593787904080.094#1593788023432.448#119352.35400390625
1#2#1#0#us-east-1#python2.7#128#coldstart_long87901242#0b15ca97-88d9-434c-b18f-ae2f4469841f#41da848b-df30-41c6-9ec1-b0aa0c9dac95#sandbox-root-brzrL6#sandbox-1d0ee9#169.254.81.197#35.173.224.186#169.254.76.1#2803.08;5590.81#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593787966259.533#1593788023770.228#57510.695068359375#1593788023620.3352#1593788142946.427#119326.091796875
2#1#1#0#us-east-1#python2.7#128#coldstart_long88143987#e160b436-7b27-4cd7-9eeb-91a1841b50e7#e160b436-7b27-4cd7-9eeb-91a1841b50e7#sandbox-root-oXZmSD#sandbox-366949#169.254.91.85#54.144.216.150#169.254.76.1#1285.58;2565.16#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788088591.249#1593788146806.459#58215.2099609375#1593788146633.573#1593788266012.497#119378.92407226562
2#2#1#0#us-east-1#python2.7#128#coldstart_long88143987#20edb1a9-4e88-4805-b456-9266c034dff7#86bcd513-360e-48a4-997e-0a87a509e9b2#sandbox-root-XI4Udf#sandbox-cabe1f#169.254.20.77#3.236.97.255#169.254.76.1#854.54;1694.98#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788208640.831#1593788266304.138#57663.306884765625#1593788266184.263#1593788385509.373#119325.11010742188
3#1#1#0#us-east-1#python2.7#128#coldstart_long88386404#869b86ee-811f-485f-b539-fe3674feb114#869b86ee-811f-485f-b539-fe3674feb114#sandbox-root-M1XjhJ#sandbox-25a293#169.254.173.125#52.23.204.148#169.254.76.1#1464.68;2923.18#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788330983.376#1593788389162.8079#58179.431884765625#1593788388908.862#1593788508385.3818#119476.51977539062
3#2#1#0#us-east-1#python2.7#128#coldstart_long88386404#b4784939-52cc-4b75-b3a7-b1b179ae0ecd#6730b235-c117-4e8b-b171-9eb537b7e456#sandbox-root-l39rmW#sandbox-3a8644#169.254.160.5#52.91.101.233#169.254.76.1#1525.30;3035.47#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788450406.073#1593788508667.5789#58261.505859375#1593788508700.994#1593788627885.4822#119184.48828125
4#1#1#0#us-east-1#python2.7#128#coldstart_long88628666#6356686a-574f-40c8-95cf-9163479b7039#6356686a-574f-40c8-95cf-9163479b7039#sandbox-root-opvKu4#sandbox-283e4c#169.254.33.13#54.80.183.224#169.254.76.1#384.86;764.15#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788574690.809#1593788631654.9731#56964.1640625#1593788631407.593#1593788750869.346#119461.7529296875
4#2#1#0#us-east-1#python2.7#128#coldstart_long88628666#6356686a-574f-40c8-95cf-9163479b7039#6f74d49c-79c3-4187-8ec3-e916f62ded4f#sandbox-root-opvKu4#sandbox-283e4c#169.254.33.13#54.80.183.224#169.254.76.1#504.44;998.64#2;Intel(R) Xeon(R) Processor @ 2.50GHz#1593788693697.1829#1593788751210.946#57513.76318359375#1593788751006.782#1593788870465.614#119458.83203125
