timestamp,message
1593695091092,"START RequestId: 1d79d4eb-35ef-4f49-a619-cc99ff20361e Version: $LATEST
"
1593695091101,"3.223.191.105
"
1593695091101,"us-east-1
"
1593695091101,"END RequestId: 1d79d4eb-35ef-4f49-a619-cc99ff20361e
"
1593695091101,"REPORT RequestId: 1d79d4eb-35ef-4f49-a619-cc99ff20361e	Duration: 6.72 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695121134,"START RequestId: 8f1e53e6-7d46-443a-accd-62d8ad4a74d3 Version: $LATEST
"
1593695121142,"3.223.191.105
"
1593695121142,"us-east-1
"
1593695121142,"END RequestId: 8f1e53e6-7d46-443a-accd-62d8ad4a74d3
"
1593695121142,"REPORT RequestId: 8f1e53e6-7d46-443a-accd-62d8ad4a74d3	Duration: 5.79 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695151113,"START RequestId: 5c84a19f-573d-4ca3-8fb0-bfb5e0399b54 Version: $LATEST
"
1593695151132,"3.223.191.105
"
1593695151132,"us-east-1
"
1593695151132,"END RequestId: 5c84a19f-573d-4ca3-8fb0-bfb5e0399b54
"
1593695151132,"REPORT RequestId: 5c84a19f-573d-4ca3-8fb0-bfb5e0399b54	Duration: 8.60 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695181456,"START RequestId: 62b44691-7c19-447d-a026-13e3cbc930af Version: $LATEST
"
1593695181463,"3.223.191.105
"
1593695181463,"us-east-1
"
1593695181463,"END RequestId: 62b44691-7c19-447d-a026-13e3cbc930af
"
1593695181463,"REPORT RequestId: 62b44691-7c19-447d-a026-13e3cbc930af	Duration: 4.67 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695211130,"START RequestId: 957a4f43-e781-4446-8e1b-4b2b5d82a406 Version: $LATEST
"
1593695211154,"3.223.191.105
"
1593695211154,"us-east-1
"
1593695211154,"END RequestId: 957a4f43-e781-4446-8e1b-4b2b5d82a406
"
1593695211154,"REPORT RequestId: 957a4f43-e781-4446-8e1b-4b2b5d82a406	Duration: 21.98 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695241125,"START RequestId: 4f457f2a-0dc5-4187-9b63-6fd8607993e7 Version: $LATEST
"
1593695241146,"3.223.191.105
"
1593695241146,"us-east-1
"
1593695241146,"END RequestId: 4f457f2a-0dc5-4187-9b63-6fd8607993e7
"
1593695241146,"REPORT RequestId: 4f457f2a-0dc5-4187-9b63-6fd8607993e7	Duration: 18.66 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695271144,"START RequestId: f5934768-6445-41ec-8520-ed65315c12ae Version: $LATEST
"
1593695271157,"3.223.191.105
"
1593695271157,"us-east-1
"
1593695271157,"END RequestId: f5934768-6445-41ec-8520-ed65315c12ae
"
1593695271157,"REPORT RequestId: f5934768-6445-41ec-8520-ed65315c12ae	Duration: 10.22 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695301258,"START RequestId: 8f4a0a49-645b-4952-b96b-cdafd2968582 Version: $LATEST
"
1593695301274,"3.223.191.105
"
1593695301274,"us-east-1
"
1593695301274,"END RequestId: 8f4a0a49-645b-4952-b96b-cdafd2968582
"
1593695301274,"REPORT RequestId: 8f4a0a49-645b-4952-b96b-cdafd2968582	Duration: 11.56 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 44 MB	
"
1593695331152,"START RequestId: 312f32ee-fe70-40cd-b7a0-540e09e6aeaa Version: $LATEST
"
1593695331179,"3.223.191.105
"
1593695331179,"us-east-1
"
1593695331180,"END RequestId: 312f32ee-fe70-40cd-b7a0-540e09e6aeaa
"
