0#1#2#0#us-east-1#python2.7#128#coldstart92056800#902d11ed-c2c0-47e2-8411-c3e237c11ea2#902d11ed-c2c0-47e2-8411-c3e237c11ea2#sandbox-root-KvV8X1#sandbox-2e9d4f#169.254.30.13#3.219.217.235#169.254.76.1#1234.70,2462.99#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593692008589.982#1593692067323.4219#58733.43994140625#1593692062240.781#1593692182789.64#120548.85888671875
0#1#2#1#us-east-1#python2.7#128#coldstart92059520#a8c3c8f1-7fe5-42d1-ae34-c118fd246083#a8c3c8f1-7fe5-42d1-ae34-c118fd246083#sandbox-root-nlfbI7#sandbox-558460#169.254.115.149#54.210.223.52#169.254.76.1#1201.62,2397.33#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593692008679.81#1593692067436.7002#58756.89013671875#1593692062250.425#1593692182906.22#120655.794921875
0#2#2#0#us-east-1#python2.7#128#coldstart92056800#902d11ed-c2c0-47e2-8411-c3e237c11ea2#04c69c2f-61da-430d-8526-b9db648f8456#sandbox-root-KvV8X1#sandbox-2e9d4f#169.254.30.13#3.219.217.235#169.254.76.1#1355.62,2700.25#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593692129054.718#1593692188235.556#59180.837890625#1593692183264.122#1593692303656.433#120392.31103515625
0#2#2#1#us-east-1#python2.7#128#coldstart92059520#af4c61a4-72ae-45d1-a3d5-3b702b6baf67#24253aa7-06df-43bb-bff7-fcb32d3bd722#sandbox-root-Kvfhdt#sandbox-b62726#169.254.40.205#3.236.77.172#169.254.76.1#1083.26,2150.96#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593692129440.2659#1593692188275.0#58834.734130859375#1593692183265.7559#1593692303702.8389#120437.0830078125
0#1#2#0#us-east-1#python2.7#3008#coldstart92305389#ad0ec953-1531-4fca-8ab2-ff17d7f35d31#ad0ec953-1531-4fca-8ab2-ff17d7f35d31#sandbox-root-F0YAaI#sandbox-e7a16d#169.254.152.93#34.236.37.252#169.254.76.1#2922.87,5785.65#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593692257696.326#1593692316203.331#58507.005126953125#1593692311248.239#1593692431719.506#120471.26708984375
0#1#2#1#us-east-1#python2.7#3008#coldstart92308482#4241e37c-b9e7-49ef-ac3e-a7e7893a4838#4241e37c-b9e7-49ef-ac3e-a7e7893a4838#sandbox-root-QNIV16#sandbox-c437c1#169.254.120.93#3.235.15.90#169.254.76.1#4545.49,9030.57#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593692257687.323#1593692316195.3499#58508.02685546875#1593692311255.262#1593692431721.724#120466.46215820312
0#2#2#0#us-east-1#python2.7#3008#coldstart92305389#e68867e3-56cb-472d-b3f4-b4163fb9f882#e3307c7d-2b82-4f1c-a048-9e8e7892c983#sandbox-root-L8fftF#sandbox-b614b8#169.254.217.133#35.175.242.84#169.254.76.1#2979.71,5778.98#2,Intel(;R) Xeon(;R) Process;or; @ 2.50GHz#1593692377743.5652#1593692437021.017#59277.451904296875#1593692432121.871#1593692552547.074#120425.20288085938
0#2#2#1#us-east-1#python2.7#3008#coldstart92308482#4241e37c-b9e7-49ef-ac3e-a7e7893a4838#b068fe7f-6330-482a-8396-752b8e292fe7#sandbox-root-QNIV16#sandbox-c437c1#169.254.120.93#3.235.15.90#169.254.76.1#4666.34,9213.86#2,Intel(R) ;Xeon(R) ;Processor ;@ ;2.50GHz#1593692378381.56#1593692437045.604#58664.0439453125#1593692432126.667#1593692552550.6338#120423.966796875
1#1#2#0#us-east-1#python2.7#128#coldstart92554013#52b00e1d-e1e2-4c94-8723-0b25055ecb89#52b00e1d-e1e2-4c94-8723-0b25055ecb89#sandbox-root-f6UKQu#sandbox-0a57dc#169.254.151.117#34.205.9.141#169.254.76.1#1302.34,2597.72#2,Intel(R); Xeon(R); Processor; @; 2.50GHz#1593692505848.977#1593692564387.339#58538.362060546875#1593692559334.732#1593692679827.907#120493.17504882812
1#1#2#1#us-east-1#python2.7#128#coldstart92556438#f3441e9a-9f64-4303-b758-85ec2f7a2eca#f3441e9a-9f64-4303-b758-85ec2f7a2eca#sandbox-root-TFaKXJ#sandbox-7135be#169.254.160.181#18.232.54.59#169.254.76.1#1534.00,3061.03#2,Intel(R); Xeon(R); Processor; @; 2.50GHz#1593692505091.944#1593692564398.064#59306.119873046875#1593692559342.698#1593692679831.36#120488.662109375
1#2#2#0#us-east-1#python2.7#128#coldstart92554013#1c1b500e-eedd-495b-85cd-3790ff4ff0c6#fc19e4d4-927a-47e8-b22d-d61f50841501#sandbox-root-9xCgZt#sandbox-b7abfb#169.254.111.149#52.72.154.115#169.254.76.1#1462.26,2908.17#2,Intel(R;) Xeon(R;) Processo;r ;@ 2.50GHz#1593692626365.273#1593692685062.376#58697.10302734375#1593692680227.323#1593692800554.379#120327.05590820312
